,0
0,-1.2894697189331055
1,-6.275965690612793
2,-2.561558246612549
3,-1.2833423614501953
4,-6.645153999328613
5,-3.008963108062744
6,-1.2523431777954102
7,-6.673256874084473
8,-3.0097668170928955
9,-1.2210102081298828
10,-6.698759078979492
11,-3.010009288787842
12,-1.3102140426635742
13,-6.635781288146973
14,-2.3571999073028564
15,-1.2995538711547852
16,-6.654972076416016
17,-2.3566017150878906
18,-1.2883853912353516
19,-6.6738128662109375
20,-2.3581833839416504
21,-0.9693765640258789
22,-6.79755973815918
23,-4.327186107635498
24,-1.0216779708862305
25,-6.784597396850586
26,-1.405904769897461
27,-1.1192331314086914
28,-6.054869651794434
29,-2.969250202178955
30,-1.1592416763305664
31,-6.058717727661133
32,-2.1227686405181885
33,-0.4282360076904297
34,-5.4402570724487305
35,-6.184541702270508
36,-0.1284923553466797
37,-5.10441780090332
38,0.5211465358734131
39,-0.9610929489135742
40,-2.245579719543457
41,-6.819108963012695
42,-0.7958927154541016
43,-2.432992935180664
44,1.1730713844299316
45,-1.926905632019043
46,-0.1617603302001953
47,-5.777509689331055
48,-1.6777992248535156
49,-0.4687156677246094
50,0.23901867866516113
51,-2.149783134460449
52,0.45604705810546875
53,-6.334698677062988
54,-1.6303205490112305
55,0.1315155029296875
56,0.3280830383300781
57,-2.223052978515625
58,0.4458808898925781
59,-6.201962471008301
60,-2.0482749938964844
61,0.3113994598388672
62,-0.24760842323303223
63,-2.128063201904297
64,0.2649097442626953
65,-5.675273895263672
66,-1.9493579864501953
67,0.06357765197753906
68,-0.04612529277801514
69,-0.3102693557739258
70,-0.03730010986328125
71,-4.0295305252075195
72,0.0
73,0.0
74,0.0
75,-0.5970563888549805
76,3.740419387817383
77,-3.221897840499878
78,-0.2729053497314453
79,3.7480621337890625
80,0.686701774597168
81,-0.049671173095703125
82,7.384008407592773
83,-1.5443300008773804
84,-0.006924629211425781
85,7.436269760131836
86,2.193464517593384
87,0.13647174835205078
88,8.034568786621094
89,-1.4257687330245972
90,0.18323040008544922
91,8.146718978881836
92,2.286024808883667
93,-0.9601211547851562
94,8.160417556762695
95,-2.5076334476470947
96,-0.8737106323242188
97,8.168291091918945
