,0
0,-3.0211496353149414
1,-5.215884208679199
2,-3.393260955810547
3,-2.9601058959960938
4,-5.554609298706055
5,-3.7876501083374023
6,-2.9332971572875977
7,-5.564488410949707
8,-3.7880160808563232
9,-2.905472755432129
10,-5.572782516479492
11,-3.7904984951019287
12,-2.968808174133301
13,-5.567261695861816
14,-3.1555259227752686
15,-2.9490480422973633
16,-5.584718704223633
17,-3.154078245162964
18,-2.9267578125
19,-5.601616859436035
20,-3.1548056602478027
21,-2.61810302734375
22,-5.523097038269043
23,-4.837416648864746
24,-2.6225528717041016
25,-5.562302589416504
26,-2.009742021560669
27,-2.860055923461914
28,-4.918276786804199
29,-3.751974105834961
30,-2.865481376647949
31,-4.902782440185547
32,-2.939666271209717
33,-1.905531883239746
34,-4.230876922607422
35,-6.206012725830078
36,-1.7749977111816406
37,-4.272588729858398
38,-0.498276948928833
39,-0.4141054153442383
40,-4.296682357788086
41,-7.537299156188965
42,-0.27066516876220703
43,-4.031765937805176
44,0.783574104309082
45,1.0125656127929688
46,-4.593690872192383
47,-8.67204475402832
48,0.9320564270019531
49,-4.436382293701172
50,0.6321063041687012
51,1.290379524230957
52,-4.933905601501465
53,-9.463895797729492
54,1.2806463241577148
55,-4.456731796264648
56,0.7016232013702393
57,1.3430891036987305
58,-5.008299827575684
59,-9.582515716552734
60,1.1796989440917969
61,-4.597068786621094
62,0.43349623680114746
63,1.2559328079223633
64,-4.806958198547363
65,-8.790306091308594
66,1.0323972702026367
67,-4.528354644775391
68,0.48662614822387695
69,0.03430747985839844
70,0.17786598205566406
71,-4.687660217285156
72,0.0
73,0.0
74,0.0
75,-2.330012321472168
76,1.1509971618652344
77,-4.7055559158325195
78,-2.2352447509765625
79,0.7086086273193359
80,1.9361841678619385
81,-0.977229118347168
82,1.6357765197753906
83,1.6429965496063232
84,-0.7828664779663086
85,1.5643138885498047
86,3.486597776412964
87,-0.7657585144042969
88,1.3633785247802734
89,2.3997490406036377
90,-0.5459308624267578
91,1.4934406280517578
92,3.6186530590057373
93,-0.894017219543457
94,1.9614372253417969
95,4.107273101806641
96,-0.7029876708984375
97,2.0823287963867188
98,4.38525390625
99,-2.992037773132324
100,-5.43487548828125
101,-4.151391506195068
102,-2.9033451080322266
103,-5.755963325500488
104,-4.614490509033203
105,-2.876559257507324
106,-5.762361526489258
107,-4.615325450897217
108,-2.8486366271972656
109,-5.764765739440918
110,-4.6181769371032715
111,-2.9075536727905273
112,-5.763373374938965
113,-3.8268351554870605
114,-2.8839807510375977
115,-5.778312683105469
116,-3.8249340057373047
117,-2.859206199645996
118,-5.79411506652832
119,-3.8247060775756836
120,-2.5544986724853516
121,-5.682154655456543
122,-5.915574550628662
123,-2.555222511291504
124,-5.736687660217285
125,-2.395488739013672
126,-2.848965644836426
127,-5.131441116333008
128,-4.607492446899414
129,-2.86014461517334
130,-5.133286476135254
131,-3.58937668800354
132,-1.8354082107543945
133,-4.321883201599121
134,-7.635812759399414
135,-1.7660455703735352
136,-4.262247085571289
137,-0.5484949350357056
138,-0.15614891052246094
139,-4.133644104003906
140,-8.595230102539062
141,-0.08316326141357422
142,-3.711501121520996
143,0.10110831260681152
144,1.418992042541504
145,-4.076526641845703
146,-9.172158241271973
147,1.2730951309204102
148,-3.8015518188476562
149,-1.1798330545425415
150,1.8806333541870117
151,-4.176056861877441
152,-10.038774490356445
153,1.7417497634887695
154,-3.835153579711914
155,-1.2246394157409668
156,2.0275659561157227
157,-4.017891883850098
158,-10.14009952545166
159,1.806290626525879
160,-3.535101890563965
161,-1.6223808526992798
162,1.8928155899047852
163,-3.8385772705078125
164,-9.2537260055542
165,1.5124940872192383
166,-3.823460578918457
167,-1.415338158607483
168,0.042517662048339844
169,0.09850692749023438
170,-4.836111068725586
171,3.24249267578125e-05
172,-0.0887603759765625
173,0.1506948471069336
174,-2.3539657592773438
175,1.2161598205566406
176,-4.739935874938965
177,-2.324138641357422
178,0.8890419006347656
179,2.179358720779419
180,-0.9595232009887695
181,1.7046146392822266
182,1.3350608348846436
183,-0.8544769287109375
184,1.3508968353271484
185,4.369279861450195
186,-0.7612705230712891
187,1.4521942138671875
188,2.0418779850006104
189,-0.6306486129760742
190,1.109445571899414
191,4.538571357727051
192,-0.8643264770507812
193,1.9623603820800781
194,3.5522916316986084
195,-0.723388671875
196,1.7665138244628906
197,5.344322204589844
198,-2.8856563568115234
199,-5.845980644226074
200,-4.133787155151367
201,-2.7514572143554688
202,-6.147831916809082
203,-4.555939197540283
204,-2.7219066619873047
205,-6.138797760009766
206,-4.557009696960449
207,-2.6901626586914062
208,-6.130122184753418
209,-4.55974006652832
210,-2.755312919616699
211,-6.171073913574219
212,-3.780853271484375
213,-2.72959041595459
214,-6.176446914672852
215,-3.778893232345581
216,-2.702035903930664
217,-6.183379173278809
218,-3.7788190841674805
219,-2.419857978820801
220,-5.993300437927246
221,-5.68421745300293
222,-2.4290075302124023
223,-6.05478572845459
224,-2.3648359775543213
225,-2.7801685333251953
226,-5.490065574645996
227,-4.522902488708496
228,-2.7941646575927734
229,-5.523576736450195
230,-3.5250067710876465
231,-1.7556161880493164
232,-4.499906539916992
233,-7.450828552246094
234,-1.702012062072754
235,-4.386381149291992
236,-0.16993379592895508
237,-0.10739803314208984
238,-3.7272891998291016
239,-8.466333389282227
240,-0.01955413818359375
241,-3.4204940795898438
242,0.20488882064819336
243,1.4216327667236328
244,-2.9521141052246094
245,-9.087615966796875
246,1.3264446258544922
247,-2.7882614135742188
248,-0.7095293998718262
249,1.8259077072143555
250,-2.8184051513671875
251,-9.922276496887207
252,1.721573829650879
253,-2.546497344970703
254,-0.685569167137146
255,1.9093217849731445
256,-2.611753463745117
257,-10.027680397033691
258,1.734208106994629
259,-2.499338150024414
260,-1.1061468124389648
261,1.7961416244506836
262,-2.6635189056396484
263,-9.171628952026367
264,1.519709587097168
265,-2.5865039825439453
266,-0.9510093927383423
267,0.04261016845703125
268,0.061168670654296875
269,-4.8761444091796875
270,-0.0013446807861328125
271,-0.16460418701171875
272,0.19075465202331543
273,-2.390578269958496
274,1.2839927673339844
275,-4.721592903137207
276,-2.3638601303100586
277,0.9402084350585938
278,2.219754457473755
279,-0.9620828628540039
280,1.904794692993164
281,1.0442612171173096
282,-0.9243135452270508
283,1.3626518249511719
284,4.139720916748047
285,-0.7591867446899414
286,1.7383880615234375
287,1.6929185390472412
288,-0.6795053482055664
289,1.1433029174804688
290,4.304915428161621
291,-0.9779872894287109
292,2.2000808715820312
293,3.0240790843963623
294,-0.8524608612060547
295,1.7914905548095703
296,5.249894142150879
297,-2.7636489868164062
298,-6.432221412658691
299,-5.97265625
300,-2.6059656143188477
301,-6.7452497482299805
302,-6.372849464416504
303,-2.576169967651367
304,-6.727919578552246
305,-6.374305725097656
306,-2.5445919036865234
307,-6.712703704833984
308,-6.37744140625
309,-2.6064090728759766
310,-6.778959274291992
311,-5.528787612915039
312,-2.577157974243164
313,-6.7778778076171875
314,-5.526937484741211
315,-2.5466833114624023
316,-6.782474517822266
317,-5.527335166931152
318,-2.267563819885254
319,-6.540101051330566
320,-7.3641157150268555
321,-2.2714662551879883
322,-6.620194435119629
323,-3.6008667945861816
324,-2.664961814880371
325,-6.053816795349121
326,-6.308423042297363
327,-2.6826114654541016
328,-6.09028434753418
329,-5.215340614318848
330,-1.603236198425293
331,-4.7906341552734375
332,-9.018250465393066
333,-1.6474342346191406
334,-4.838425636291504
335,-1.123156189918518
336,0.16680335998535156
337,-3.181528091430664
338,-10.255785942077637
339,-0.030759811401367188
340,-3.2297840118408203
341,-0.44047343730926514
342,1.436819076538086
343,-1.4974288940429688
344,-10.65433120727539
345,1.1942720413208008
346,-1.5868072509765625
347,-1.1549352407455444
348,1.8327302932739258
349,-1.1901569366455078
350,-11.515372276306152
351,1.4582014083862305
352,-1.11883544921875
353,-1.0005910396575928
354,1.8445005416870117
355,-1.037057876586914
356,-11.543985366821289
357,1.4524908065795898
358,-1.0209884643554688
359,-1.5679645538330078
360,1.709071159362793
361,-1.0021343231201172
362,-10.685890197753906
363,1.376739501953125
364,-1.1745872497558594
365,-1.4364206790924072
366,0.04219532012939453
367,-0.04823875427246094
368,-4.874195098876953
369,-0.08918094635009766
370,-0.4531707763671875
371,0.18957996368408203
372,-2.4227333068847656
373,1.3052043914794922
374,-4.707266807556152
375,-2.411799430847168
376,0.9179039001464844
377,2.2951290607452393
378,-0.9855279922485352
379,1.9785995483398438
380,1.1048576831817627
381,-1.0695056915283203
382,1.2465839385986328
383,4.073366165161133
384,-0.7576684951782227
385,1.8486404418945312
386,1.777449369430542
387,-0.7890748977661133
388,1.0923805236816406
389,4.238381385803223
390,-1.2050933837890625
391,2.4714221954345703
392,3.1214420795440674
393,-1.1758880615234375
394,1.7863788604736328
395,5.047086715698242
396,-2.55828857421875
397,-7.0297040939331055
398,-5.190284729003906
399,-2.37185001373291
400,-7.298492431640625
401,-6.023464679718018
402,-2.3419532775878906
403,-7.29008674621582
404,-6.028772354125977
405,-2.314457893371582
406,-7.279721260070801
407,-6.030693054199219
408,-2.3723249435424805
409,-7.305537223815918
410,-4.909902095794678
411,-2.341533660888672
412,-7.303702354431152
413,-4.910375595092773
414,-2.312305450439453
415,-7.302684783935547
416,-4.908961772918701
417,-2.047226905822754
418,-7.108981132507324
419,-6.9501800537109375
420,-2.04522705078125
421,-7.180087089538574
422,-2.862431764602661
423,-2.466017723083496
424,-6.687505722045898
425,-5.598753929138184
426,-2.487659454345703
427,-6.727209091186523
428,-4.2779974937438965
429,-1.5223655700683594
430,-5.290979385375977
431,-8.205131530761719
432,-1.5115299224853516
433,-5.586435317993164
434,-0.4193505048751831
435,-0.03566265106201172
436,-3.4057531356811523
437,-9.334857940673828
