,0
0,-1.4010610580444336
1,-4.546854019165039
2,-4.668406009674072
3,-1.1822071075439453
4,-4.748857498168945
5,-5.660885810852051
6,-1.1277742385864258
7,-4.744760513305664
8,-5.664715766906738
9,-1.0808181762695312
10,-4.741107940673828
11,-5.665858745574951
12,-1.180832862854004
13,-4.762809753417969
14,-4.193471431732178
15,-1.1370429992675781
16,-4.766212463378906
17,-4.191713809967041
18,-1.0929985046386719
19,-4.7704315185546875
20,-4.193418979644775
21,-0.6641721725463867
22,-4.627870559692383
23,-8.120311737060547
24,-0.6547641754150391
25,-4.655662536621094
26,-1.5724365711212158
27,-1.292367935180664
28,-4.305166244506836
29,-5.387698650360107
30,-1.3312501907348633
31,-4.309286117553711
32,-3.490248680114746
33,-0.7073593139648438
34,-3.5177555084228516
35,-12.314722061157227
36,-0.0685262680053711
37,-3.2583541870117188
38,2.977510929107666
39,-3.220095634460449
40,-2.1216659545898438
41,-14.632545471191406
42,-0.24990272521972656
43,-1.9240264892578125
44,4.725930690765381
45,-6.240539073944092
46,-1.6947402954101562
47,-13.172693252563477
48,-1.570967674255371
49,-0.9891681671142578
50,2.4455060958862305
51,-6.950915813446045
52,-1.7047538757324219
53,-14.444887161254883
54,-1.6790943145751953
55,-0.8723163604736328
56,2.724142551422119
57,-6.840119361877441
58,-1.868133544921875
59,-13.71589469909668
60,-1.9134788513183594
61,-0.9131259918212891
62,1.3170366287231445
63,-6.597875595092773
64,-1.8313770294189453
65,-12.82168197631836
66,-1.899062156677246
67,-0.9520454406738281
68,1.7876086235046387
69,-0.23807716369628906
70,0.0076122283935546875
71,-9.594633102416992
72,0.0
73,0.0
74,0.0
75,-0.5849733352661133
76,2.8571090698242188
77,-9.507638931274414
78,-0.46167755126953125
79,2.7106285095214844
80,0.7903385162353516
81,-0.39278221130371094
82,5.679634094238281
83,-8.755756378173828
84,-0.5427160263061523
85,5.320898056030273
86,1.9867486953735352
87,0.007958412170410156
88,6.008903503417969
89,-8.807690620422363
90,-0.16485214233398438
91,5.787775039672852
92,1.9757709503173828
93,-2.487337112426758
94,5.966497421264648
95,-12.031665802001953
96,-2.311497688293457
97,5.764543533325195
98,-0.3868751525878906
99,-1.4007091522216797
100,-4.549419403076172
101,-4.566822528839111
102,-1.1832780838012695
103,-4.750602722167969
104,-5.531172275543213
105,-1.1334571838378906
106,-4.747735977172852
107,-5.5343828201293945
108,-1.0888938903808594
109,-4.7458648681640625
110,-5.535481929779053
111,-1.1808719635009766
112,-4.763023376464844
113,-4.0749101638793945
114,-1.136000633239746
115,-4.76629638671875
116,-4.073171138763428
117,-1.0917949676513672
118,-4.770454406738281
119,-4.075688362121582
120,-0.7121944427490234
121,-4.630552291870117
122,-8.104571342468262
123,-0.6587553024291992
124,-4.654762268066406
125,-1.5721971988677979
126,-1.292576789855957
127,-4.309989929199219
128,-5.350323677062988
129,-1.3272218704223633
130,-4.312339782714844
131,-3.463320255279541
132,-0.7076597213745117
133,-3.5102081298828125
134,-12.37875747680664
135,-0.034895896911621094
136,-3.2537193298339844
137,2.6502418518066406
138,-2.8778276443481445
139,-2.0583553314208984
140,-14.652460098266602
141,0.9048614501953125
142,-1.5687408447265625
143,3.849151134490967
144,-5.863588333129883
145,-1.4908924102783203
146,-13.766059875488281
147,1.0178756713867188
148,-0.0235595703125
149,1.6517815589904785
150,-6.445345401763916
151,-1.4340572357177734
152,-14.868843078613281
153,1.1311235427856445
154,0.4114341735839844
155,2.0073490142822266
156,-6.42225456237793
157,-1.6383342742919922
158,-14.308460235595703
159,0.9714279174804688
160,0.3955421447753906
161,0.880892276763916
162,-6.354169845581055
163,-1.6087532043457031
164,-13.446666717529297
165,0.8962726593017578
166,0.24876022338867188
167,1.1361947059631348
168,-0.23403167724609375
169,0.0072917938232421875
170,-9.69683837890625
171,0.06048011779785156
172,-0.000209808349609375
173,0.10150337219238281
174,-0.6485404968261719
175,2.8559207916259766
176,-9.42700481414795
177,-0.4684610366821289
178,2.7177371978759766
179,0.7860913276672363
180,-0.39307403564453125
181,5.686407089233398
182,-8.312891960144043
183,-0.5105772018432617
184,5.319171905517578
185,2.2619051933288574
186,0.0075893402099609375
187,6.028713226318359
188,-8.336069107055664
189,-0.14211177825927734
190,5.789876937866211
191,2.2780556678771973
192,-2.490201950073242
193,5.9856719970703125
194,-11.564104080200195
195,-2.350834846496582
196,5.7670135498046875
197,-0.0578761100769043
198,-1.4298648834228516
199,-4.545648574829102
200,-4.4077019691467285
201,-1.2091550827026367
202,-4.7411346435546875
203,-5.385012626647949
204,-1.1671981811523438
205,-4.738656997680664
206,-5.38728666305542
207,-1.131235122680664
208,-4.737199783325195
209,-5.387767314910889
210,-1.2028827667236328
211,-4.752130508422852
212,-3.9386684894561768
213,-1.158590316772461
214,-4.755098342895508
215,-3.9371118545532227
216,-1.1162652969360352
217,-4.758783340454102
218,-3.939887523651123
219,-0.7971372604370117
220,-4.620729446411133
221,-8.057310104370117
222,-0.6864767074584961
223,-4.636438369750977
224,-1.570693016052246
225,-1.3225688934326172
226,-4.3084259033203125
227,-5.233080863952637
228,-1.3451118469238281
229,-4.311626434326172
230,-3.3670926094055176
231,-0.7285079956054688
232,-3.4878673553466797
233,-12.43817138671875
234,-0.025936126708984375
235,-3.1961231231689453
236,2.6758460998535156
237,-2.6053924560546875
238,-1.9484901428222656
239,-14.60403823852539
240,1.064107894897461
241,-1.4402046203613281
242,4.252074718475342
243,-5.54612922668457
244,-1.1972980499267578
245,-13.724708557128906
246,1.1728153228759766
247,0.22350502014160156
248,2.4589219093322754
249,-6.142368316650391
250,-1.071359634399414
251,-14.71397590637207
252,1.2638607025146484
253,0.6736946105957031
254,2.8793630599975586
255,-6.1598429679870605
256,-1.2465801239013672
257,-14.223472595214844
258,1.1642255783081055
259,0.6759681701660156
260,1.7228775024414062
261,-6.039436340332031
262,-1.2515430450439453
263,-13.357269287109375
264,1.0567331314086914
265,0.4434547424316406
266,1.9635462760925293
267,-0.21552085876464844
268,0.07056427001953125
269,-9.70721435546875
270,0.21395015716552734
271,0.07380867004394531
272,0.11117887496948242
273,-0.6744709014892578
274,2.9196949005126953
275,-8.612144470214844
276,-0.4376106262207031
277,2.8143386840820312
278,0.873380184173584
279,-0.3871345520019531
280,5.730754852294922
281,-6.703181743621826
282,-0.44065093994140625
283,5.384361267089844
284,3.0987415313720703
285,0.025025367736816406
286,6.0590362548828125
287,-6.623788833618164
288,-0.027011871337890625
289,5.858858108520508
290,3.1941566467285156
291,-2.4824676513671875
292,6.044710159301758
293,-9.56109619140625
294,-2.292201042175293
295,5.800897598266602
296,0.9389963150024414
297,-1.4992179870605469
298,-4.442531585693359
299,-4.542526721954346
300,-1.2895011901855469
301,-4.6340484619140625
302,-5.518099308013916
303,-1.2571430206298828
304,-4.6344757080078125
305,-5.519201755523682
306,-1.2301435470581055
307,-4.636283874511719
308,-5.5189361572265625
309,-1.2684173583984375
310,-4.641969680786133
311,-4.065838813781738
312,-1.2206535339355469
313,-4.645925521850586
314,-4.0641374588012695
315,-1.1777381896972656
316,-4.650369644165039
317,-4.0667266845703125
318,-0.9220094680786133
319,-4.530645370483398
320,-8.222667694091797
321,-0.7470970153808594
322,-4.535427093505859
323,-1.7685976028442383
324,-1.377303123474121
325,-4.210475921630859
326,-5.372934341430664
327,-1.3763008117675781
328,-4.21778678894043
329,-3.5105338096618652
330,-0.8220109939575195
331,-3.381479263305664
332,-12.909517288208008
333,-0.014077186584472656
334,-3.096843719482422
335,2.6989035606384277
336,-2.4916486740112305
337,-1.6102313995361328
338,-14.738874435424805
339,0.9138879776000977
340,-1.2243080139160156
341,4.305629253387451
342,-5.088262557983398
343,-0.4877738952636719
344,-13.682645797729492
345,1.0776329040527344
346,0.41703033447265625
347,2.4848341941833496
348,-5.633991241455078
349,-0.30344581604003906
350,-14.75181770324707
351,1.2647171020507812
352,0.8965835571289062
353,2.897308826446533
354,-5.7716169357299805
355,-0.43564605712890625
356,-14.257701873779297
357,1.1780776977539062
358,0.9072475433349609
359,1.769411563873291
360,-5.627767562866211
361,-0.4899635314941406
362,-13.325349807739258
363,0.8924293518066406
364,0.6749534606933594
365,1.9933514595031738
366,-0.20823097229003906
367,0.16357421875
368,-9.864067077636719
369,0.2935142517089844
370,0.16660690307617188
371,0.2673816680908203
372,-0.8936367034912109
373,2.927164077758789
374,-8.665184020996094
375,-0.505462646484375
376,2.8228816986083984
377,0.9333863258361816
378,-0.38413047790527344
379,5.74317741394043
380,-6.26052713394165
381,-0.41547203063964844
382,5.388889312744141
383,3.9423012733459473
384,0.06452655792236328
385,6.108892440795898
386,-6.156481742858887
387,0.025299072265625
388,5.881193161010742
389,4.139723300933838
390,-2.6106433868408203
391,6.042507171630859
392,-9.16822338104248
393,-2.35137939453125
394,5.782960891723633
395,2.2080368995666504
396,-1.6681184768676758
397,-4.310718536376953
398,-4.615774154663086
399,-1.4267578125
400,-4.500598907470703
401,-5.562747478485107
402,-1.3871288299560547
403,-4.500953674316406
404,-5.563085079193115
405,-1.3604106903076172
406,-4.501850128173828
407,-5.562509059906006
408,-1.4011964797973633
409,-4.507001876831055
410,-4.13697624206543
411,-1.352752685546875
412,-4.509622573852539
413,-4.135341644287109
414,-1.3059091567993164
415,-4.512845993041992
416,-4.137751579284668
417,-1.0588836669921875
418,-4.388782501220703
419,-8.233922004699707
420,-0.8854570388793945
421,-4.394657135009766
422,-1.918224573135376
423,-1.5442743301391602
424,-4.082218170166016
425,-5.437507152557373
426,-1.5467920303344727
427,-4.09208869934082
428,-3.61659574508667
429,-0.9662036895751953
430,-3.2432327270507812
431,-12.979642868041992
432,-0.018930435180664062
433,-2.962942123413086
434,2.6790003776550293
435,-2.1488943099975586
436,-1.3344898223876953
437,-14.805641174316406
438,0.7640771865844727
439,-1.0985908508300781
440,4.150049686431885
441,-4.2445268630981445
442,0.16132545471191406
443,-13.66248893737793
444,0.837946891784668
445,0.47855377197265625
446,2.206638813018799
447,-4.766936302185059
448,0.43790435791015625
449,-14.765314102172852
450,0.9604988098144531
451,0.9253406524658203
452,2.536655902862549
453,-4.923793792724609
454,0.3760337829589844
455,-14.337575912475586
456,0.6972265243530273
457,0.9268035888671875
458,1.5185232162475586
459,-4.729978561401367
460,0.3137969970703125
461,-13.342411041259766
462,0.6425027847290039
463,0.7811603546142578
464,1.7285280227661133
465,-0.205902099609375
466,0.28911590576171875
467,-9.881218910217285
468,0.3826751708984375
469,0.26418495178222656
470,0.28516149520874023
471,-1.1028060913085938
472,2.926206588745117
473,-8.774517059326172
474,-0.774266242980957
475,2.8105602264404297
476,0.5398402214050293
477,-0.37815093994140625
478,5.746288299560547
479,-6.350921154022217
480,-0.41719913482666016
481,5.387388229370117
482,3.572523593902588
483,0.10615921020507812
484,6.124141693115234
485,-6.260662078857422
486,0.02715015411376953
487,5.887212753295898
488,3.7381033897399902
489,-2.6922569274902344
490,6.042957305908203
491,-9.369915008544922
492,-2.3986616134643555
493,5.778066635131836
494,1.7333884239196777
495,-1.819314956665039
496,-4.076162338256836
497,-6.6423420906066895
498,-1.5720996856689453
499,-4.277624130249023
500,-7.5960283279418945
501,-1.5439157485961914
502,-4.279909133911133
503,-7.59601354598999
504,-1.5230741500854492
505,-4.282032012939453
506,-7.596192359924316
507,-1.5332565307617188
508,-4.281181335449219
509,-6.210822105407715
510,-1.4782438278198242
511,-4.284477233886719
512,-6.209592819213867
513,-1.4260950088500977
514,-4.287071228027344
515,-6.211655616760254
516,-1.2424612045288086
517,-4.184675216674805
518,-10.205999374389648
519,-1.036783218383789
520,-4.190799713134766
521,-4.135590553283691
522,-1.7080965042114258
523,-3.870594024658203
524,-7.460598945617676
525,-1.684809684753418
526,-3.8733482360839844
527,-5.698540687561035
528,-1.235525131225586
529,-2.992809295654297
530,-14.854991912841797
531,-0.0190582275390625
532,-2.7963924407958984
533,0.9018845558166504
534,-1.9387712478637695
535,-0.9327144622802734
536,-16.32415008544922
537,0.5915937423706055
538,-0.9613075256347656
539,2.3315653800964355
540,-3.3591270446777344
541,0.8169708251953125
542,-14.339071273803711
543,0.3874673843383789
544,0.4417991638183594
545,0.5339632034301758
546,-3.5837011337280273
547,1.1812572479248047
548,-15.529214859008789
549,0.33381175994873047
550,0.7919807434082031
551,0.925041675567627
552,-3.682191848754883
553,1.1726360321044922
554,-15.179130554199219
555,-0.02645111083984375
556,0.7967300415039062
557,-0.24951505661010742
558,-3.6214542388916016
559,1.0623950958251953
560,-14.105297088623047
561,0.03414440155029297
562,0.6873645782470703
563,-0.02138519287109375
564,-0.1926555633544922
565,0.5324840545654297
566,-9.882499694824219
567,0.36905574798583984
568,0.47830772399902344
569,0.28733396530151367
570,-1.203190803527832
571,3.000110626220703
572,-8.296587944030762
573,-0.9706888198852539
574,2.8209457397460938
575,1.2155675888061523
576,-0.3861370086669922
577,5.756908416748047
578,-5.186147689819336
579,-0.4721393585205078
580,5.369035720825195
581,5.085814952850342
582,0.1053781509399414
583,6.130910873413086
584,-5.044769287109375
585,-0.006680488586425781
586,5.871820449829102
587,5.3300251960754395
588,-2.6833858489990234
589,6.045940399169922
590,-7.977581024169922
591,-2.3976173400878906
592,5.729551315307617
593,3.572084903717041
594,-2.16094970703125
595,-3.889209747314453
596,-6.237025260925293
597,-1.8404865264892578
598,-4.125093460083008
599,-7.037275314331055
600,-1.8134937286376953
601,-4.122161865234375
602,-7.039561748504639
603,-1.7926788330078125
604,-4.118844985961914
605,-7.037454128265381
606,-1.797163963317871
607,-4.137115478515625
608,-5.571471691131592
609,-1.741349220275879
610,-4.140298843383789
611,-5.57009220123291
612,-1.6965036392211914
613,-4.142404556274414
614,-5.571469306945801
615,-1.4858837127685547
616,-4.003303527832031
617,-9.59460735321045
618,-1.2339496612548828
619,-4.019737243652344
620,-3.4341189861297607
621,-2.021470069885254
622,-3.6740798950195312
623,-6.724954605102539
624,-1.9996862411499023
625,-3.6765213012695312
626,-4.896491527557373
627,-1.494009017944336
628,-2.7605628967285156
629,-14.331581115722656
630,-0.01883697509765625
631,-2.6589431762695312
632,1.0935182571411133
633,-1.4619073867797852
634,-0.6900177001953125
635,-15.930656433105469
636,0.8736000061035156
637,-0.8346061706542969
638,2.2810397148132324
639,-1.951746940612793
640,1.1566352844238281
641,-14.016708374023438
642,0.32257747650146484
643,0.4478569030761719
644,0.87786865234375
645,-2.015552520751953
646,1.629873275756836
647,-15.021202087402344
648,0.3008909225463867
649,0.7913455963134766
650,1.3702549934387207
651,-2.094235420227051
652,1.6553115844726562
653,-14.780805587768555
654,-0.05303668975830078
655,0.8180561065673828
656,0.20953083038330078
657,-2.064558982849121
658,1.4673633575439453
659,-13.89361572265625
660,-0.032088279724121094
661,0.7255706787109375
662,0.32030534744262695
663,-0.3402118682861328
664,0.7932796478271484
665,-9.830568313598633
666,0.3614225387573242
667,0.7319717407226562
668,0.2367081642150879
669,-1.1805505752563477
670,3.327230453491211
671,-7.324645042419434
672,-0.9308080673217773
673,3.0975513458251953
674,1.8999056816101074
675,-0.3797140121459961
676,5.9222564697265625
677,-4.251159191131592
678,-0.4886312484741211
679,5.495023727416992
680,5.547321796417236
681,0.1224985122680664
682,6.218358993530273
683,-4.120213985443115
684,-0.010319709777832031
685,5.933826446533203
686,5.778375148773193
687,-2.680156707763672
688,6.121082305908203
689,-6.833586692810059
690,-2.473112106323242
691,5.8112335205078125
692,3.9184975624084473
693,-2.426023483276367
694,-3.797901153564453
695,-7.775447368621826
696,-2.106411933898926
697,-4.029788970947266
698,-8.697282791137695
699,-2.0595617294311523
700,-4.0285491943359375
701,-8.699105262756348
702,-2.016439437866211
703,-4.026195526123047
704,-8.70094108581543
705,-2.080913543701172
706,-4.036659240722656
707,-7.196116924285889
708,-2.019521713256836
709,-4.039167404174805
710,-7.194953918457031
711,-1.9539060592651367
712,-4.041595458984375
713,-7.1978044509887695
714,-1.6298027038574219
715,-3.908496856689453
716,-11.043489456176758
717,-1.4671516418457031
718,-3.918611526489258
719,-4.492335319519043
720,-2.249192237854004
721,-3.569286346435547
722,-8.472570419311523
723,-2.2491092681884766
724,-3.5690555572509766
725,-6.556215286254883
726,-1.480381965637207
727,-2.7333602905273438
728,-15.23369026184082
729,-0.2932271957397461
730,-2.6547164916992188
731,0.7353506088256836
732,-0.9793825149536133
733,-0.7961845397949219
734,-16.980640411376953
735,0.7888364791870117
736,-0.8897132873535156
737,2.3485817909240723
738,-0.7611522674560547
739,1.0082683563232422
740,-16.210529327392578
741,0.4627218246459961
742,0.6597881317138672
743,0.6108365058898926
744,-0.717167854309082
745,1.4242439270019531
746,-17.72515869140625
747,0.4006366729736328
748,1.0703926086425781
749,1.1798324584960938
750,-0.8422393798828125
751,1.464456558227539
752,-17.244598388671875
753,0.2711200714111328
754,1.1237754821777344
755,-0.20093965530395508
756,-0.8450355529785156
757,1.3077068328857422
758,-15.985754013061523
759,0.2073516845703125
760,0.9924392700195312
761,-0.01391744613647461
762,-0.1277322769165039
763,0.7857608795166016
764,-9.831924438476562
765,0.38242340087890625
766,0.6841182708740234
767,0.23899269104003906
