,0
0,-2.0258703231811523
1,-5.493143081665039
2,-17.67422103881836
3,-1.5102767944335938
4,-5.632499694824219
5,-18.53583526611328
6,-1.4233198165893555
7,-5.607113838195801
8,-18.538875579833984
9,-1.3463754653930664
10,-5.579596519470215
11,-18.542802810668945
12,-1.5752067565917969
13,-5.675036430358887
14,-16.745784759521484
15,-1.5366582870483398
16,-5.67779541015625
17,-16.749544143676758
18,-1.501570701599121
19,-5.679962158203125
20,-16.751903533935547
21,-0.7523765563964844
22,-5.334589004516602
23,-20.582355499267578
24,-0.8999166488647461
25,-5.4544477462768555
26,-12.391834259033203
27,-1.8132915496826172
28,-5.1825103759765625
29,-18.248004913330078
30,-1.9497451782226562
31,-5.222259521484375
32,-15.881895065307617
33,-0.37523746490478516
34,-4.005699157714844
35,-24.087963104248047
36,-0.7451162338256836
37,-4.209404945373535
38,-7.41526985168457
39,-4.085066795349121
40,-5.222231864929199
41,-28.920242309570312
42,-4.334707260131836
43,-5.905077934265137
44,-4.2308807373046875
45,-7.794920444488525
46,-7.242892265319824
47,-31.89669418334961
48,-7.554825782775879
49,-7.415200233459473
50,-8.443970680236816
51,-7.84376859664917
52,-7.564861297607422
53,-35.18435287475586
54,-7.989072322845459
55,-7.760927200317383
56,-9.28547477722168
57,-8.072507858276367
58,-7.770267486572266
59,-34.57849884033203
60,-7.810578346252441
61,-7.957667350769043
62,-11.219914436340332
63,-7.922669410705566
64,-7.577757835388184
65,-31.915367126464844
66,-7.699326515197754
67,-7.785366058349609
68,-9.529240608215332
69,0.4049797058105469
70,0.2856578826904297
71,-11.047157287597656
72,0.0
73,0.0
74,0.0
75,0.34801387786865234
76,2.7254467010498047
77,-0.9918489456176758
78,-0.0008296966552734375
79,2.008443832397461
80,10.557522773742676
81,0.9075756072998047
82,5.059289932250977
83,8.97980785369873
84,0.8074026107788086
85,3.998321533203125
86,22.945316314697266
87,1.5157642364501953
88,5.489109039306641
89,9.82032299041748
90,1.0894098281860352
91,4.486570358276367
92,24.176605224609375
93,-1.8385114669799805
94,5.500062942504883
95,5.447179794311523
96,-1.0370817184448242
97,4.510448455810547
98,22.720012664794922
99,-1.822688102722168
100,-5.348630905151367
101,-17.960344314575195
102,-1.361551284790039
103,-5.515466690063477
104,-18.839351654052734
105,-1.2993831634521484
106,-5.495451927185059
107,-18.84164810180664
108,-1.2412586212158203
109,-5.476651191711426
110,-18.845245361328125
111,-1.3529539108276367
112,-5.543552398681641
113,-17.05850601196289
114,-1.2856740951538086
115,-5.539175033569336
116,-17.06119155883789
117,-1.2170171737670898
118,-5.536691665649414
119,-17.062557220458984
120,-0.6744956970214844
121,-5.261290550231934
122,-21.002437591552734
123,-0.5848541259765625
124,-5.362821578979492
125,-12.860247611999512
126,-1.698287010192871
127,-5.091367721557617
128,-18.565288543701172
129,-1.71600341796875
130,-5.118459701538086
131,-16.21595001220703
132,-0.4913911819458008
133,-3.968838691711426
134,-24.434337615966797
135,-0.39342308044433594
136,-4.145652770996094
137,-7.8535261154174805
138,-4.394164085388184
139,-5.63407039642334
140,-29.659313201904297
141,-4.373446464538574
142,-5.79384708404541
143,-4.953935146331787
144,-7.500206470489502
145,-7.320673942565918
146,-32.00149154663086
147,-7.091059684753418
148,-7.241025924682617
149,-9.497278213500977
150,-8.303370475769043
151,-7.894323348999023
152,-35.23381042480469
153,-7.711895942687988
154,-7.802982330322266
155,-10.304725646972656
156,-8.057289123535156
157,-7.907011032104492
158,-34.412532806396484
159,-7.601181507110596
160,-7.854418754577637
161,-12.159547805786133
162,-8.020610809326172
163,-7.835953712463379
164,-31.924911499023438
165,-7.44967794418335
166,-7.649236679077148
167,-10.556528091430664
168,0.07002544403076172
169,0.16873550415039062
170,-11.058038711547852
171,0.26119136810302734
172,-0.21044540405273438
173,0.013564586639404297
174,0.1822671890258789
175,2.712291717529297
176,-3.0638720989227295
177,0.34580326080322266
178,1.9537372589111328
179,9.046477317810059
180,0.8070230484008789
181,5.214069366455078
182,4.622096061706543
183,0.8449010848999023
184,4.002374649047852
185,19.861770629882812
186,1.5545272827148438
187,5.644899368286133
188,5.1600141525268555
189,1.5351219177246094
190,4.736063003540039
191,20.900707244873047
192,-1.873971939086914
193,5.62921142578125
194,0.29230737686157227
195,-0.7786331176757812
196,4.517002105712891
197,18.87273406982422
198,-1.9180994033813477
199,-5.4414520263671875
200,-20.854496002197266
201,-1.412017822265625
202,-5.584873199462891
203,-21.714374542236328
204,-1.3431243896484375
205,-5.556037902832031
206,-21.715164184570312
207,-1.2806310653686523
208,-5.5295867919921875
209,-21.719635009765625
210,-1.418741226196289
211,-5.612828254699707
212,-19.944347381591797
213,-1.3542938232421875
214,-5.599368095397949
215,-19.94841766357422
216,-1.2908697128295898
217,-5.588817596435547
218,-19.949203491210938
219,-0.6844968795776367
220,-5.276226997375488
221,-23.311443328857422
222,-0.6543197631835938
223,-5.3808393478393555
224,-15.206671714782715
225,-1.8155441284179688
226,-5.1369524002075195
227,-21.231090545654297
228,-1.8490190505981445
229,-5.165694236755371
230,-18.892555236816406
231,-0.4891071319580078
232,-3.9679336547851562
233,-26.11255645751953
234,-0.7703104019165039
235,-4.179510116577148
236,-10.432369232177734
237,-4.394399642944336
238,-5.512481689453125
239,-32.850975036621094
240,-4.928851127624512
241,-5.790826797485352
242,-8.064855575561523
243,-7.701395511627197
244,-7.167252540588379
245,-37.93972396850586
246,-8.73072624206543
247,-7.241727828979492
248,-12.13463020324707
249,-8.461084365844727
250,-7.750548362731934
251,-41.809600830078125
252,-9.514392852783203
253,-7.802474021911621
254,-13.406265258789062
255,-8.173820495605469
256,-7.849424362182617
257,-41.16741180419922
258,-9.114302635192871
259,-7.865566253662109
260,-15.260900497436523
261,-8.05406379699707
262,-7.684221267700195
263,-38.07319259643555
264,-9.002963066101074
265,-7.648963928222656
266,-13.238954544067383
267,0.10356903076171875
268,0.1870746612548828
269,-10.962364196777344
270,0.25144290924072266
271,-0.1977672576904297
272,-0.08523845672607422
273,0.18407726287841797
274,2.7235851287841797
275,-1.12103271484375
276,0.35018157958984375
277,1.9556922912597656
278,10.512310981750488
279,0.8109502792358398
280,5.179534912109375
281,9.09177303314209
282,0.8901176452636719
283,3.985616683959961
284,23.276275634765625
285,1.5468673706054688
286,5.62999153137207
287,9.90944766998291
288,1.6502971649169922
289,4.625864028930664
290,24.57891845703125
291,-1.866044044494629
292,5.555036544799805
293,5.080700874328613
294,-0.7587718963623047
295,4.429742813110352
296,22.737834930419922
297,-1.9098072052001953
298,-5.429013252258301
299,-20.335716247558594
300,-1.3852529525756836
301,-5.576290130615234
302,-21.221609115600586
303,-1.318948745727539
304,-5.547698020935059
305,-21.223289489746094
306,-1.259882926940918
307,-5.521660804748535
308,-21.22732162475586
309,-1.3919134140014648
310,-5.6021881103515625
311,-19.44951057434082
312,-1.3308124542236328
313,-5.58757209777832
314,-19.452991485595703
315,-1.2726116180419922
316,-5.576192855834961
317,-19.453407287597656
318,-0.68072509765625
319,-5.261776924133301
320,-23.237220764160156
321,-0.652374267578125
322,-5.3629961013793945
323,-15.126531600952148
324,-1.8134765625
325,-5.119192123413086
326,-20.846296310424805
327,-1.847768783569336
328,-5.143698692321777
329,-18.503082275390625
330,-0.48676204681396484
331,-3.9547548294067383
332,-25.869659423828125
333,-0.8010034561157227
334,-4.1680498123168945
335,-9.945175170898438
336,-4.183660507202148
337,-5.319618225097656
338,-31.9183349609375
339,-5.031579971313477
340,-5.751368522644043
341,-7.197725772857666
342,-7.521166801452637
343,-6.921464920043945
344,-36.503238677978516
345,-8.582218170166016
346,-7.167795181274414
347,-11.53939437866211
348,-8.298320770263672
349,-7.321930885314941
350,-40.06330490112305
351,-9.240425109863281
352,-7.5615739822387695
353,-12.581354141235352
354,-8.027067184448242
355,-7.5467939376831055
356,-39.43964767456055
357,-9.015996932983398
358,-7.779787063598633
359,-14.444652557373047
360,-7.811984539031982
361,-7.311553955078125
362,-36.596588134765625
363,-8.86911392211914
364,-7.569225311279297
365,-12.618459701538086
366,0.13030624389648438
367,0.2067432403564453
368,-10.943965911865234
369,0.24683666229248047
